image,correct1,correct2
images/e41_3583-766.7.jpg,Nobz,Grot
images/e07_1500-900.jpg,Grot,Nobz
images/e49_4000-900.jpg,Nobz,Grot
images/e13_1917-766.7.jpg,Grot,Nobz
