image,correct1,correct2
images/e01_1500-100.jpg,Nobz,Grot
images/e07_1500-900.jpg,Grot,Nobz
images/e09_1917-233.3.jpg,Nobz,Grot
images/e13_1917-766.7.jpg,Grot,Nobz
